dim,tpr_at_fpr_0001,tpr_at_fpr_0001_std,tpr_at_fpr_001,tpr_at_fpr_001_std,tpr_at_fpr_01,tpr_at_fpr_01_std,ev_mean,ev_std
10,52.2,4.89,64.7,4.4,87.6,2.54,34.47,4.73
11,46.7,4.81,62.03,3.72,87.57,2.81,37.19,4.82
12,54.6,5.44,65.63,3.54,90.13,2.47,39.77,4.78
13,55.0,6.73,68.73,6.42,91.93,1.58,42.26,4.3
14,54.6,5.46,71.47,3.92,92.37,1.95,44.71,4.29
15,58.33,5.24,72.4,4.17,93.4,1.58,47.09,4.84
16,61.0,4.43,72.1,5.11,95.3,1.15,49.38,4.81
17,62.7,5.26,77.2,3.46,95.97,1.07,51.63,5.36
18,61.23,6.01,78.77,3.92,96.83,1.44,53.81,5.62
19,72.97,4.48,84.6,4.21,97.47,1.09,55.91,5.49
20,78.77,5.97,88.4,3.07,97.67,1.15,57.97,5.0
21,82.7,4.97,89.73,2.4,97.9,1.01,60.0,5.4
22,84.13,4.57,90.13,2.49,98.2,0.87,62.01,4.93
23,85.87,2.96,91.27,1.95,98.23,0.79,63.98,4.76
24,85.1,3.25,91.4,2.03,98.3,0.69,65.89,4.83
25,84.97,2.88,91.47,1.73,98.5,0.78,67.7,4.53
26,83.9,3.08,92.4,1.98,98.6,0.76,69.47,4.47
27,83.2,3.15,94.4,2.28,98.73,0.77,71.22,4.33
28,83.23,3.42,94.77,1.71,98.83,0.79,72.9,4.26
29,87.9,2.62,94.97,1.62,98.97,0.75,74.54,3.96
30,88.6,2.48,95.9,1.45,99.13,0.85,76.13,3.82
31,88.47,3.01,96.8,0.93,99.17,0.72,77.7,2.94
32,88.8,2.94,96.9,0.79,99.23,0.63,79.24,2.77
33,88.83,2.74,96.87,0.93,99.43,0.65,80.74,2.56
34,88.87,2.5,96.93,1.34,99.37,0.66,82.23,2.4
35,88.73,3.41,96.97,1.32,99.43,0.6,83.69,2.63
36,88.97,3.74,97.23,1.53,99.43,0.6,85.11,2.44
37,88.33,3.98,97.53,1.22,99.47,0.52,86.51,2.26
38,87.57,4.4,97.87,1.22,99.5,0.5,87.85,2.43
39,87.23,4.6,97.7,1.25,99.5,0.5,89.16,2.11
40,86.77,4.81,97.67,1.3,99.4,0.57,90.45,1.68
41,88.13,4.42,97.87,1.32,99.37,0.6,91.7,1.18
42,87.8,4.29,97.87,1.36,99.4,0.55,92.89,1.12
43,87.3,4.39,98.2,1.07,99.4,0.59,94.05,0.71
44,86.87,4.34,98.27,1.02,99.37,0.57,95.17,0.62
45,86.93,4.3,98.23,1.05,99.37,0.6,96.22,0.94
46,86.9,4.29,98.1,1.17,99.4,0.59,97.25,1.04
47,86.73,4.21,97.97,1.28,99.47,0.52,98.24,1.18
48,85.97,4.43,97.87,1.36,99.53,0.45,99.18,0.87
49,85.63,4.82,97.77,1.33,99.5,0.48,100.0,0.0
50,85.63,4.82,97.77,1.33,99.5,0.48,100.0,0.0
